Irradiances,Clear Sky,Clear Sky,Clear Sky,Total,Clearness,Net,PV,Solar,Sun,Sun,Vector,,vCumulativeRadiationArray,,,
,Direct,Diffuse,Reflected,Clear Sky,Index,Radiation,Output,Angle,Elevation,Azimuth,Dot Product,,Column 1,Column 2,Column 3,Column 4
Minute,,,,,,,,,,,,,,,,
92,0,0,0,0,0.42,0,0,158.9006623165851,-56.04690900829469,145.97096437793357,-0.9329576961841615,,0,0,,3.2095035422212113
93,0,0,0,0,0.41,0,0,158.68931833855314,-55.96323902675918,145.58763243465904,-0.9316234904092993,,0,0,,3.2119136655463505
94,0,0,0,0,0.39,0,0,158.4774550553557,-55.878749368372034,145.20570670554935,-0.9302732837673994,,0,0,,3.2148237888714895
95,0,0,0,0,0.39,0,0,158.26508806998132,-55.793446795723185,144.82518992523745,-0.9289071019644503,,0,0,,3.2177339121966284
96,0,0,0,0,0.38,0,0,158.05223242259405,-55.707338071212774,144.4460845098214,-0.9275249710105836,,0,0,,3.2208940355217677
97,0,0,0,0,0.38,0,0,157.83890261415348,-55.62042995547879,144.06839256219956,-0.9261269172195804,,0,0,,3.224054158846907
98,0,0,0,0,0.39,0,0,157.62511262896192,-55.53272920586223,143.69211587746258,-0.9247129672083703,,0,0,,3.226964282172046
99,0,0,0,0,0.44,0,0,157.4108759561884,-55.444242574909794,143.31725594833523,-0.9232831478965229,,0,0,,3.228624405497185
100,0,0,0,0,0.44,0,0,157.19620561041683,-55.354976808914465,142.943813970662,-0.9218374865057367,,0,0,,3.2302845288223243
101,0,0,0,0,0.42,0,0,156.98111415126272,-55.26493864649351,142.57179084893022,-0.9203760105593211,,0,0,,3.2324446521474632
102,0,0,0,0,0.47,0,0,156.76561370210123,-55.174134817204305,142.20118720182344,-0.9188987478816707,,0,0,,3.2333547754726024
103,0,0,0,0,0.57,0,0,156.5497159679491,-55.08257204019768,141.83200336780138,-0.9174057265977384,,0,0,,3.2317648987977416
104,0,0,0,0,0.69,0,0,156.33343225253907,-54.990257022908416,141.46423941069767,-0.9158969751324968,,0,0,,3.2271750221228808
105,0,0,0,0,0.73,0,0,156.1167734746249,-54.8971964597835,141.09789512533283,-0.914372522210399,,0,0,,3.22158514544802
106,0,0,0,0,0.5,0,0,155.89975018355375,-54.80339703104692,140.73297004313486,-0.9128323968548312,,0,0,,3.221745268773159
107,0,0,0,0,0.45,0,0,155.68237257413983,-54.7088654015018,140.36946343776353,-0.9112766283875603,,0,0,,3.2231553920982985
108,0,0,0,0,0.41,0,0,155.4646505008725,-54.61360821936872,140.00737433073255,-0.9097052464281752,,0,0,,3.2255655154234377
